OBJECTID,SN_ID,WBenUse
874,05-1234,StockWatering
875,05-1234,Domestic
876,05-1235,StockWatering
877,05-1235,Domestic
878,05-1235,Agricultural
879,05-1236,Agricultural
880,05-1236,StockWatering
881,05-1236,Domestic
882,05-1237,Domestic
883,05-1237,Agricultural
884,05-1238,Other
885,05-1239,StockWatering
886,05-1239,Domestic
887,05-1239,Agricultural
888,05-124,Domestic
889,05-1240,StockWatering
890,05-1240,Agricultural
891,05-1240,Domestic
892,05-1241,Domestic
893,05-1242,Other
894,05-1243,Agricultural
895,05-1243,Domestic
896,05-1243,StockWatering
897,05-1244,Other
898,05-1245,Agricultural
899,05-1246,Agricultural
900,05-1247,Agricultural
901,05-1248,StockWatering
902,05-1248,Agricultural
903,05-1248,Domestic
904,05-1249,Agricultural
905,05-1249,Domestic
906,05-1249,StockWatering
907,05-125,Domestic
908,05-1250,Domestic
909,05-1250,Agricultural
910,05-1251,Agricultural
911,05-1251,StockWatering
912,05-1252,Domestic
913,05-1252,StockWatering
914,05-1252,Agricultural
915,05-1253,Domestic
916,05-1253,Agricultural
917,05-1253,StockWatering
918,05-1254,StockWatering
919,05-1254,Agricultural
920,05-1255,Other
921,05-1256,Agricultural
922,05-1256,Domestic
923,05-1257,Domestic
924,05-1257,StockWatering
925,05-1257,Agricultural
926,05-1258,Agricultural
927,05-1258,StockWatering
928,05-1258,Domestic
929,05-1259,Other
930,05-126,Other
931,05-126,StockWatering
932,05-1260,Other
933,05-1261,Domestic
934,05-1261,Agricultural
935,05-1262,Agricultural
936,05-1263,Agricultural
937,05-1263,Domestic
938,05-1263,StockWatering
939,05-1264,Agricultural
940,05-1264,Domestic
941,05-1265,Domestic
942,05-1265,StockWatering
943,05-1266,Other
944,05-1267,StockWatering
945,05-1268,Other
946,05-1269,Domestic
947,05-1269,Agricultural
948,05-127,Domestic
949,05-127,Agricultural
950,05-1270,Domestic
951,05-1270,Agricultural
952,05-1271,StockWatering
953,05-1271,Domestic
954,05-1272,StockWatering
955,05-1272,Domestic
956,05-1273,Agricultural
957,05-1274,Domestic
958,05-1274,Agricultural
959,05-1274,StockWatering
960,05-1275,Agricultural
961,05-1275,Domestic
962,05-1276,Agricultural
963,05-1276,Domestic
964,05-1277,Domestic
965,05-1277,Agricultural
966,05-1278,Domestic
967,05-1278,StockWatering
968,05-1278,Agricultural
969,05-1279,Domestic
970,05-1279,Agricultural
971,05-128,Domestic
972,05-128,Other
973,05-1280,Agricultural
974,05-1280,Domestic
975,05-1280,StockWatering
976,05-1281,Domestic
977,05-1281,Agricultural
978,05-1282,Domestic
979,05-1282,Other
980,05-1283,Agricultural
